latitude,longitude,state,district,landslide,sample_source
27.71434382583342,95.3475234034072,UNKNOWN,UNKNOWN,0,spatial_background_sample
24.834917,93.459083,Manipur,Noney,1,GSI_field_inventory
25.353170016217472,95.57169571979475,UNKNOWN,UNKNOWN,0,spatial_background_sample
24.287180597246586,89.73620373900638,UNKNOWN,UNKNOWN,0,spatial_background_sample
27.896079593270176,94.17122689087037,UNKNOWN,UNKNOWN,0,spatial_background_sample
22.785513788103692,91.9716646811251,UNKNOWN,UNKNOWN,0,spatial_background_sample
26.57411,93.09811,Assam,Nagaon,1,GSI_field_inventory
23.75712578113777,91.33554300023263,UNKNOWN,UNKNOWN,0,spatial_background_sample
22.91165,92.929871,Mizoram,Lunglei,1,GSI_field_inventory
24.474967878407945,91.84793943637827,UNKNOWN,UNKNOWN,0,spatial_background_sample
27.080315636395703,90.60632342800106,UNKNOWN,UNKNOWN,0,spatial_background_sample
27.895479848018397,89.40638612116595,UNKNOWN,UNKNOWN,0,spatial_background_sample
23.334383526942133,93.44767185534035,UNKNOWN,UNKNOWN,0,spatial_background_sample
22.535999,92.860001,Mizoram,Lawngtlai,1,GSI_field_inventory
23.145231,92.687721,Mizoram,Lunglei,1,GSI_field_inventory
26.54,94.37,Assam,Jorhat,1,GSI_field_inventory
27.865488144701654,88.81221834697376,UNKNOWN,UNKNOWN,0,spatial_background_sample
22.15,93.01,Mizoram,Saiha,1,GSI_field_inventory
24.455171145596893,91.29887294538925,UNKNOWN,UNKNOWN,0,spatial_background_sample
26.136735400007417,89.71294040761443,UNKNOWN,UNKNOWN,0,spatial_background_sample
24.455144622687605,91.52163020453318,UNKNOWN,UNKNOWN,0,spatial_background_sample
22.22,92.62,Mizoram,Lawngtlai,1,GSI_field_inventory
26.017555515137328,88.47450486988087,UNKNOWN,UNKNOWN,0,spatial_background_sample
27.267104340750556,93.7107680269011,UNKNOWN,UNKNOWN,0,spatial_background_sample
24.630083,93.606139,Manipur,Noney,1,GSI_field_inventory
25.65,94.122,Nagaland,Kohima,1,GSI_field_inventory
28.63853155274124,91.0962011924406,UNKNOWN,UNKNOWN,0,spatial_background_sample
26.78825,95.068361,Nagaland,Mon,1,GSI_field_inventory
25.539611,92.001556,Meghalaya,East Khasi Hills,1,GSI_field_inventory
23.48555556,92.70305556,Mizoram,Aizawl,1,GSI_field_inventory
25.572312,91.828292,Meghalaya,East Khasi Hills,1,GSI_field_inventory
25.163528,93.736222,Manipur,Tamenglong,1,GSI_field_inventory
23.64486556562145,95.16749564776647,UNKNOWN,UNKNOWN,0,spatial_background_sample
23.58166667,92.71027778,Mizoram,Aizawl,1,GSI_field_inventory
26.792905623790737,89.47706902519131,UNKNOWN,UNKNOWN,0,spatial_background_sample
23.682611,92.602028,Mizoram,Mamit,1,GSI_field_inventory
28.472966,95.857242,Arunachal Pradesh,Dibang Valley,1,GSI_field_inventory
25.417778,94.077222,Manipur,Senapati,1,GSI_field_inventory
27.477204500273835,95.50154271610376,UNKNOWN,UNKNOWN,0,spatial_background_sample
25.74446251837233,93.88120878779063,UNKNOWN,UNKNOWN,0,spatial_background_sample
23.860361,93.203804,Mizoram,Champhai,1,GSI_field_inventory
27.300833,93.802833,Arunachal Pradesh,Papum Pare,1,GSI_field_inventory
27.42372109041159,94.42963424361477,UNKNOWN,UNKNOWN,0,spatial_background_sample
25.67222,94.11083,Nagaland,Kohima,1,GSI_field_inventory
27.611336087690685,91.10762072883931,UNKNOWN,UNKNOWN,0,spatial_background_sample
24.869319084161763,92.22925692273593,UNKNOWN,UNKNOWN,0,spatial_background_sample
22.866783,92.772026,Mizoram,Lunglei,1,GSI_field_inventory
27.165333,88.162028,Sikkim,West Sikkim,1,GSI_field_inventory
25.905433,94.097386,Nagaland,Wokha,1,GSI_field_inventory
23.647593,93.068219,Mizoram,Champhai,1,GSI_field_inventory
25.289055,91.533039,Meghalaya,South West Khasi Hills,1,GSI_field_inventory
25.25609116069917,89.82017779022546,UNKNOWN,UNKNOWN,0,spatial_background_sample
27.134444,92.599611,Arunachal Pradesh,West Kameng,1,GSI_field_inventory
27.240444,93.064361,Arunachal Pradesh,East Kameng,1,GSI_field_inventory
23.95,94.06,Manipur,Chandel,1,GSI_field_inventory
23.70027778,92.71611111,Mizoram,Aizawl,1,GSI_field_inventory
27.763424825347748,92.9286843704828,UNKNOWN,UNKNOWN,0,spatial_background_sample
28.910378338666867,96.50487858355112,UNKNOWN,UNKNOWN,0,spatial_background_sample
24.09,92.37,Mizoram,Mamit,1,GSI_field_inventory
23.64083333,92.72472222,Mizoram,Aizawl,1,GSI_field_inventory
22.513,92.793999,Mizoram,Lawngtlai,1,GSI_field_inventory
24.47075730926488,96.0281040907549,UNKNOWN,UNKNOWN,0,spatial_background_sample
27.91982068343821,93.9160384904096,UNKNOWN,UNKNOWN,0,spatial_background_sample
25.116083,93.639889,Manipur,Tamenglong,1,GSI_field_inventory
25.279121935016533,90.02518230401161,UNKNOWN,UNKNOWN,0,spatial_background_sample
26.862182507857916,91.62447077463607,UNKNOWN,UNKNOWN,0,spatial_background_sample
23.47405556,92.71008333,Mizoram,Aizawl,1,GSI_field_inventory
23.187661,92.735055,Mizoram,Lunglei,1,GSI_field_inventory
26.55765527318818,95.83206819956867,UNKNOWN,UNKNOWN,0,spatial_background_sample
27.238515,88.48812389,Sikkim,East Sikkim,1,GSI_field_inventory
27.306861,88.368444,Sikkim,South Sikkim,1,GSI_field_inventory
23.08517540411679,93.52464802532245,UNKNOWN,UNKNOWN,0,spatial_background_sample
26.704252985741856,92.26970061096576,UNKNOWN,UNKNOWN,0,spatial_background_sample
24.220596,92.802961,Mizoram,Aizawl,1,GSI_field_inventory
23.51461944166938,88.08685331840817,UNKNOWN,UNKNOWN,0,spatial_background_sample
23.82946728238933,90.99245367506764,UNKNOWN,UNKNOWN,0,spatial_background_sample
23.449496464242177,94.74941284759811,UNKNOWN,UNKNOWN,0,spatial_background_sample
27.540917,92.949333,Arunachal Pradesh,East Kameng,1,GSI_field_inventory
24.570469985939578,91.05196027112059,UNKNOWN,UNKNOWN,0,spatial_background_sample
25.095611,94.522944,Manipur,Ukhrul,1,GSI_field_inventory
22.280943994973374,89.68298494879691,UNKNOWN,UNKNOWN,0,spatial_background_sample
25.76,93.96,Nagaland,Dimapur,1,GSI_field_inventory
22.08193428744559,89.28908419387292,UNKNOWN,UNKNOWN,0,spatial_background_sample
25.220023,91.631989,Meghalaya,East Khasi Hills,1,GSI_field_inventory
24.83800282727818,94.51979831527662,UNKNOWN,UNKNOWN,0,spatial_background_sample
25.407030989518653,91.83491908629372,UNKNOWN,UNKNOWN,0,spatial_background_sample
27.181167,88.192028,Sikkim,West Sikkim,1,GSI_field_inventory
25.01328329352139,93.56987087412301,UNKNOWN,UNKNOWN,0,spatial_background_sample
27.288167,88.102778,Sikkim,West Sikkim,1,GSI_field_inventory
22.69691621233792,94.99057289825477,UNKNOWN,UNKNOWN,0,spatial_background_sample
24.58323043664213,88.51910853088985,UNKNOWN,UNKNOWN,0,spatial_background_sample
23.43740523543903,94.6450625528001,UNKNOWN,UNKNOWN,0,spatial_background_sample
22.782172637482038,90.317320416057,UNKNOWN,UNKNOWN,0,spatial_background_sample
26.204445665503133,92.98746304355407,UNKNOWN,UNKNOWN,0,spatial_background_sample
23.628439104634968,96.05436695824758,UNKNOWN,UNKNOWN,0,spatial_background_sample
27.105083,92.555222,Arunachal Pradesh,West Kameng,1,GSI_field_inventory
25.584519,94.792344,Nagaland,Phek,1,GSI_field_inventory
26.182216,94.891382,Nagaland,Tuensang,1,GSI_field_inventory
25.20556760186006,88.3735651542921,UNKNOWN,UNKNOWN,0,spatial_background_sample
28.105572,96.447685,Arunachal Pradesh,Anjaw,1,GSI_field_inventory
28.82866687291105,90.43055346711081,UNKNOWN,UNKNOWN,0,spatial_background_sample
27.719258837170393,90.70174813995628,UNKNOWN,UNKNOWN,0,spatial_background_sample
24.426404941866277,89.38556372609271,UNKNOWN,UNKNOWN,0,spatial_background_sample
26.37175,95.000806,Nagaland,Mon,1,GSI_field_inventory
26.858269007936563,93.29566957189549,UNKNOWN,UNKNOWN,0,spatial_background_sample
28.354662796999705,89.52966832834412,UNKNOWN,UNKNOWN,0,spatial_background_sample
23.94,92.68277778,Mizoram,Kolasib,1,GSI_field_inventory
25.970917,94.214028,Nagaland,Kohima,1,GSI_field_inventory
27.125861,88.14275,Sikkim,West Sikkim,1,GSI_field_inventory
